BSN;Name;PLZ;Adresse;City;Latitude;Longitude;;;;;;;;;;;;;
06P04;Rudolf-Steiner-Schule Berlin;14195;Auf dem Grat 3;Berlin;52.45637;13.27484;;;;;;;;;;;;;
09P19;Technische Jugendfreizeit- und Bildungsgesellschaft (tjfbg) gGmbH;12459;Ostendstr. 1;Berlin;52.45677;13.52971;;;;;;;;;;;;;
06Y13;Gymnasium Steglitz;12169;Heesestr. 15;Berlin;52.45691;13.32661;;;;;;;;;;;;;
08K03;Otto-Hahn-Schule;12359;Buschkrugallee 63;Berlin;52.45777;13.44889;;;;;;;;;;;;;
08B04;OSZ Informations- und Medizintechnik;12359;Haarlemer Str. 23-27;Berlin;52.45789;13.4526;;;;;;;;;;;;;
07G07;Lindenhof-Grundschule;12105;Reglinstr. 29;Berlin;52.45801;13.36322;;;;;;;;;;;;;
06G04;Erich-Kästner-Grundschule;14195;Bachstelzenweg 2-8;Berlin;52.45823;13.28331;;;;;;;;;;;;;
07G20;Maria-Montessori-Grundschule;12103;Friedrich-Wilhelm-Str. 72-74;Berlin;52.45828;13.38085;;;;;;;;;;;;;
06Y03;Arndt-Gymnasium Dahlem;14195;Königin-Luise-Str. 80-84;Berlin;52.45911;13.28027;;;;;;;;;;;;;
06P11;Private Kant-Schule;12169;Körnerstr. 11;Berlin;52.45913;13.32981;;;;;;;;;;;;;
06P10;Private Kant-Schule (Grundschule);12165;Grunewaldstr. 44;Berlin;52.4592;13.31365;;;;;;;;;;;;;
08G24;Schule am Teltowkanal (Grundschule);12347;Rungiusstr. 46;Berlin;52.45926;13.44062;;;;;;;;;;;;;
06K09;Gail-S.-Halvorsen-Integrierte Sekundarschule;14195;Im Gehege 6;Berlin;52.45952;13.28446;;;;;;;;;;;;;
09G31;31. Schule (Grundschule);12459;Keplerstr. 10;Berlin;52.45961;13.53228;;;;;;;;;;;;;
05P01;Freie Waldorfschule Havelhöhe - Eugen Kolisko;14089;Neukladower Allee 1;Berlin;52.45979;13.15611;;;;;;;;;;;;;
07Y06;Askanisches Gymnasium;12103;Kaiserin-Augusta-Str. 19/20;Berlin;52.4599;13.37984;;;;;;;;;;;;;
06P06;Königin-Luise-Stiftung;14195;Podbielskiallee 78;Berlin;52.46034;13.30221;;;;;;;;;;;;;
07G19;Paul-Simmel-Grundschule;12099;Felixstr. 26-58;Berlin;52.46136;13.39391;;;;;;;;;;;;;
06Y07;Paulsen-Gymnasium;12163;Gritznerstr. 57;Berlin;52.46161;13.31427;;;;;;;;;;;;;
06G14;Sachsenwald-Grundschule;12157;Sachsenwaldstr. 20-21;Berlin;52.46182;13.33633;;;;;;;;;;;;;
09G04;Sonnenblumen-Schule (Grundschule);12437;Radenzer Str. 16;Berlin;52.46196;13.48854;;;;;;;;;;;;;
09P20;Elisabeth-Schulen;12459;Edisonstr. 63;Berlin;52.46217;13.51373;;;;;;;;;;;;;
08G23;Zürich-Schule (Grundschule);12347;Wederstr. 49;Berlin;52.46233;13.43835;;;;;;;;;;;;;
09G22;Schule an der Wuhlheide (Grundschule);12459;Kottmeierstr. 2;Berlin;52.46268;13.52399;;;;;;;;;;;;;
06K03;Kopernikus-Schule (Integrierte Sekundarschule);12163;Lepsiusstr. 24-28;Berlin;52.46391;13.3201;;;;;;;;;;;;;
09P18;Freie Interkulturelle Waldorfschule Berlin;12439;Schnellerstr. 1-5;Berlin;52.46395;13.49838;;;;;;;;;;;;;
